Experience (yrs),Training Hours,Working Hours,Projects,Productivity Score
7,15,43,1,160
15,63,42,9,296
11,13,46,11,226
8,63,36,14,305
7,72,35,9,263
19,27,50,4,266
11,99,39,13,309
11,53,37,9,235
4,43,46,3,174
8,83,42,7,226
3,71,37,6,189
2,23,35,8,171
12,57,37,11,290
6,24,39,9,204
2,81,49,14,281
1,87,48,5,200
12,96,37,1,221
12,71,35,3,196
17,49,39,10,281
10,94,48,12,325
16,89,41,8,297
15,91,43,11,302
15,62,49,6,255
19,33,49,8,305
12,35,44,9,261
3,98,47,4,160
5,69,53,1,182
19,50,41,14,355
7,38,51,1,153
9,24,54,10,275
7,54,38,4,206
18,74,39,12,330
4,98,41,14,281
14,80,47,7,266
18,18,49,2,217
9,97,45,3,219
2,10,38,1,101
15,17,47,5,235
7,97,41,1,173
12,72,53,8,284
8,20,36,1,146
15,90,44,11,302
3,17,47,1,129
14,44,40,2,193
17,44,46,2,232
4,42,46,12,249
18,14,54,6,274
8,50,45,7,241
4,37,41,5,142
2,16,35,1,115
